[STRING]
String = 60000,阵型说明(自设武将)
String = 65409,传闻孟德公武能往来厮杀，文能行军布阵！公谨今日便来领教！
String = 65410,据闻太史慈急公好义，是诸侯竞相争取的大将人选。曹某用人唯才，不论出身，将军何不投效在我军门下，在这乱世中建立一番功业？
String = 65411,曹公尽管放马过来，太史慈候教！
String = 65412,甘宁将军曾是大名鼎鼎的锦帆贼首领，名声传遍五湖四海。英雄还需则明主而事之，将军何不改投曹某，另外闯出一番事业呢？
String = 65413,在水上讨生活的，谁不知锦帆甘兴霸之名，今日我便掂惦你曹孟德有多少斤两！
String = 65414,天下野心之人，惟仲达能与孟德相比！
String = 65415,仲达虽钦慕曹公大才，无奈今日免不了要大战一场。
String = 65416,马孟起，你我二人今日终于对上，一决胜负吧！
String = 65417,夏侯惇够资格当我马超的对手，出招吧！
String = 65418,哼！稍后夏侯惇飞马直取孔明首级，看你遁甲之术如何施展！！
String = 65419,为将之道，岂只厮杀而已。今日孔明便教你夏侯惇明白奇术谋略之妙！！
String = 65420,张辽之大名无人不知、无人不晓，夏侯惇想向你讨教几招！
String = 65421,夏侯兄之武艺，文远早思领教，胜负一决！
String = 65422,元让久仰虎痴大名，今日定要决一胜负！
String = 65423,放马过来！让我虎痴会会你这夏侯家第一勇士！
String = 65424,张郃将军！与元让一较高低吧！！
String = 65425,夏侯将军乃是张郃梦寐以求的强敌，今日定要战个痛快！
String = 65426,我定败你飞将吕布，教我夏侯氏之名远扬天下！！
String = 65427,元让虽是不弱，可惜还逊奉先一筹，何苦自取其辱？
String = 65428,山野屠夫，敢对上我夏侯渊，胆子不小啊？
String = 65429,俺老张今天一定让你夏侯渊吓得屁滚尿流！
String = 65430,别人怕你常山赵子龙，我夏侯渊偏不信邪，今天要你威名扫地！
String = 65431,胆敢阻挡我军，夏侯渊实乃逆天无道之辈，还不下马求饶！
String = 65432,西凉锦马超名动天下，上阵厮杀的功夫可别教夏侯渊失望才好！
String = 65433,不过小有战功，夏侯渊便以为天下无敌了吗？可笑至极！
String = 65434,哈哈哈～～派个书呆腐儒上阵，难道贵军已无将才可用？
String = 65435,无智莽夫，今日教你知晓何谓用兵之道。
String = 65436,今天你我二人就分出胜负，看谁才是夏侯家第一人！
String = 65437,你我同为夏侯家血脉，今日竟是战场相见，无奈啊！
String = 65438,人人说你张辽文武双全，今天我就要看看，我夏侯渊到底哪一点不如你！
String = 65439,你夏侯渊今日注定败于文远之手，还不醒悟吗？
String = 65440,传闻虎痴武艺过人，有万夫莫敌之勇，今日妙才得幸一会，出招吧！
String = 65441,好久没遇到像样的对手啦！夏侯渊尽管来战！
String = 65442,典韦将军！今日是我们两人分出胜负的时候了！
String = 65443,英雄一决！生死无憾！
String = 65444,夏侯渊领教张郃将军武艺！！
String = 65445,夏侯渊尽管来战！张郃恭候高招！
String = 65446,许久没遇上一个能和我势均力敌的对手了！
String = 65447,我徐公明可不是寻常下将，妙才留意啦！
String = 65448,吕布匹夫！汝耀武扬威只到今日，夏侯渊定要你伏首称臣！
String = 65449,夏侯渊之力，奉先了然于胸，何苦自取灭亡呢？
String = 65450,马孟起，我张辽敬你是条汉子，劝你早早归降！否则战端一起，只怕你悔不当初！
String = 65451,能与文远这般英雄对阵，教孟起胸中燃起万丈斗志！
String = 65452,英雄间的胜负无需叫嚣怒骂，典韦将军出招吧！
String = 65453,文远当事英豪！典韦必教你败淂心服！
String = 65454,张郃将军此战必败，文远劝你早早投降才是！
String = 65455,文远非我敌手，今日难逃一败！
String = 65456,徐晃将军，今日生死一战！汝可有觉悟？
String = 65457,能和张文远一较高下，实在痛快！
String = 65458,听闻关云长力大无穷，百斤大刀犹能马上运转如飞。今日我许褚就与你以力拼力！
String = 65459,久仰虎痴豪勇，关云长有幸一战！
String = 65460,跟读书人厮杀，实在没意思啊！！
String = 65461,许将军心性单纯，若中我巧计，莫要怪罪孔明狡诈！
String = 65462,许某久闻曹公大名，今日便要一试曹公真本事！！
String = 65463,此人乃上将之才，当思收服，以为己用。
String = 65464,文远是许某敬佩的好汉，要你我兵刃相见，实在遗憾。
String = 65465,厮杀乃是武将的宿命，仲康莫怨我心狠。
String = 65466,吕布匹夫！你的不败虚名就到此为止了！！
String = 65467,吕布纵横天下，至今难遇敌手，无智粗人也配与我对阵吗？哈哈哈哈～～
String = 65468,关云长，今日教你知晓我典韦之力。
String = 65469,许久未遇此等好汉，今日一战想必精采！
String = 65470,大将典韦在此，卖酒屠猪之辈，还不下马自缚！
String = 65471,典韦尽管来战，怕你的就不是燕人张翼德！
String = 65472,赵子龙速速下马拜降，可免落马之辱。
String = 65473,常山赵子龙在此，典韦休得猖狂，！
String = 65474,孟德公是典韦景仰之人，兵刃相向，实非所愿，请见谅。
String = 65475,典韦与我意气相投，投我麾下，必能闯出一番功业！
String = 65476,夏侯惇实力不差，正好让典某活动活动筋骨！
String = 65477,典韦有何绝招尽管施展，夏侯惇不看在眼里。
String = 65478,许褚兄，今日一战不论情义，只论胜负，如何？
String = 65479,典韦兄尽管出手，我俩今日痛快一战！
String = 65480,狗贼董卓，本日你难逃生天！！
String = 65481,董某自出西凉，战无不胜、攻无不克，从不退却！你这蛮勇下将也敢出战！
String = 65482,有我典韦在此，容不得你吕布猖狂！
String = 65483,岂不知吕某素有飞将之称，战场之上，来去纵横，汝区区下将也敢拦我！
String = 65484,赵云小辈，对上我曹仁，看汝虚名能到几时！
String = 65485,吾单人匹马，百万军中，如入无人之境，区区曹仁，岂留得住常山赵子龙！
String = 65486,夏侯惇来战！曹仁恭候大驾！
String = 65487,曹仁休走！下马来降！
String = 65488,夏侯渊勇猛过人，可惜对上我曹仁，也只能含恨落马。
String = 65489,曹仁匹夫！见识夏侯渊的威风吧！
String = 65490,大胆张辽！还不束手就擒？
String = 65491,张辽今日要大开杀戒！曹仁若是怕死，早些投降便是。
String = 65492,典韦注意了，有幸见识我曹仁武艺，你眼福不浅啊！
String = 65493,哼！养尊处优的公子爷，战场上没有你撒野的份！
String = 65494,曹某出身名门，乡野小民哪有资格和我交手？
String = 65495,若不靠家世，凭你也配领兵出战？
String = 65496,张郃小儿！今日教你知兵法奥妙！
String = 65497,曹仁定要试试落马的滋味，我张郃便帮你一把！
String = 65498,徐晃匹夫！决一死战！
String = 65499,曹仁非是将才，公明唯恐胜之不武！
String = 65500,吕布又不是三头六臂，岂有不败之理！
String = 65501,汝等无智之人，胆敢招惹我吕奉先！
String = 65502,关云长当世战神，张郃不才，请教高招！
String = 65503,张郃乃惯战名将，与之对阵，也不算辱没关某！
String = 65504,今天定要你逃生无门！我就不相信你张飞百万军中来去自如！
String = 65505,俺张飞要来便来，要走就走，张郃匹夫也敢拦路？脖子洗干净点，你张爷爷要来拿了！
String = 65506,赵子龙，我要看你如何逃得出我张郃的手掌心！
String = 65507,败你张郃，有何难哉！接招来！
String = 65508,老将军年迈，何不退兵休养，免遭屠戮。
String = 65509,张郃小儿，无须他人出手，老黄忠收拾你便绰绰有余！
String = 65510,典韦将军，当下立降，可免一死！性命宝贵，莫再犹豫！
String = 65511,张郃将军素有威名在外，如今对上我典韦，只怕一世英名，付诸流水！
String = 65512,许褚来战！我张郃可不怕你。
String = 65513,我许褚的手下败将何只千百，今日张郃也将是同样的下场！
String = 65514,吕布真以为无敌于天下吗？须知人外有人、天外有天！
String = 65515,多少名将败于我吕奉先之手！你张郃自不例外！
String = 65516,赵子龙！今天就是你威名扫地的日子！
String = 65517,徐晃也算是个人物，可惜对上的是我常山赵子龙啊！
String = 65518,徐晃不忍老将军受落马之辱，还请老将军退兵吧！
String = 65519,徐晃将军莫欺老夫年迈，可知多少上将败于老夫之手？
String = 65520,马孟起，对上我徐晃，只能怪你运气不好！
String = 65521,徐晃休走！快快下马求饶！
String = 65522,诸葛亮！今回你休再施那些诡计妖法！
String = 65523,对付徐将军只需略施小计，还用不着我秘术奇谋，哈哈哈．．．
String = 65524,曹贼莫走，今天我徐晃要替天行道！
String = 65525,可惜此人武勇，不如设法纳入帐下。
String = 65526,夏侯家第一武人，看你能挡下我徐晃几招！
String = 65527,徐晃够资格当我的对手！来吧！！
String = 65528,据闻典韦将军一身铜皮铁骨，未知能否挡下徐某手中利刃？
String = 65529,徐晃不过尔尔！擒汝如擒一兔。
String = 65530,今天让我碰上对手，徐某定要战个痛快！
String = 65531,许褚敬你是条好汉，此战绝对全力以赴！
String = 65532,今日放手一搏，看你张郃有何本事！
String = 65533,可惜徐晃将军，难逃败战下场！
String = 65534,徐晃不自量力，向飞将吕布讨战！
String = 65535,吕某欣赏徐将军勇气，今天就让你见识飞将威风！
String = 65536,朝代兴替乃世之常规，玄德公又何苦执着于汉朝法统。难道天下纷乱，大汉朝廷就没有一丝责任吗？
String = 65537,玄德今天要为大汉而战！讨伐逆臣恶徒！
String = 65538,曹公是否有匡扶社稷之能，贾某将亲身验证。
String = 65539,能平乱世者，惟我曹孟德，文和若归我帐下，吾必重用。
String = 65540,像诸葛孔明这样出色的人才，百年难得一见，孔明先生何不投效我方，为平定乱世贡献心力呢？
String = 65541,贾先生大才，请听孔明一言，我军乃天命所归，若不速降，恐大祸将至。
String = 65542,能与卧龙先生战场相见，荀彧深感荣幸，请赐教。
String = 65543,与荀氏儒生中智略超群的荀彧相争，孔明甚感光荣！哈哈哈．．．
String = 65544,曹公，你真的有拯救大汉之心吗？
String = 65545,迂腐儒生！王朝更替乃天道之循环，只要能拯救苍生于水火之中，即便灭亡大汉，孟德也在所不惜！
String = 65546,哈哈哈哈！！顺我者生，逆我者死！！织履小儿，你也配当我的对手！！
String = 65547,董贼乱我朝纲！今天我就要替天行道，纳命来吧！！
String = 65548,吕布孩儿，何苦和我干戈相向？若肯降服，荣华富贵自是享用不尽。
String = 65549,吕奉先怎甘屈居人下！董贼受死吧！
String = 65550,孟德，我不与你计较，你倒是犯到我头上啦！今天我就杀了你，除去心腹大患！
String = 65551,董贼！你得意也只能趁现在了！
String = 65552,凭你孙文台也想与我董卓相抗？西凉军个个骁勇，非是你江南杂兵能挡！
String = 65553,董贼！你逆天行事，坏我朝纲，孙坚要为大汉讨逆除贼！
String = 65554,不成气候的小鬼也敢反我？连你爹都不是我对手了，谅你也没多大本事。
String = 65555,有道是虎父无犬子，董贼尽管试试我孙家雄风！！
String = 65556,真乃绝世美人，待我擒下为妾，以娱晚年！
String = 65557,休欺我女流之辈，貂蝉要为大汉除去你这恶贼！
String = 65558,大耳儿！就凭你也阻挡得了我吕奉先吗？简直是痴人妄想！哈哈哈哈～～
String = 65559,吕布狼子野心，世人皆知！玄德岂容你为祸
String = 65560,年老体衰也敢来战我吕布，你是自寻死路！
String = 65561,吕布小儿！击败几名下将，便自以为无敌于天下，今天老黄忠给你个教训！
String = 65562,来得好！今天就看是你锦马超厉害，还是我飞将吕布高明！
String = 65563,哼！吕奉先，我马孟起今日定要你下马求饶！
String = 65564,曹操！胆敢招惹吕奉先，你气数将尽！
String = 65565,吕布终究是蛮勇莽夫，哪成得了气候？
String = 65566,文远，念在你我昔日之谊，你退兵吧！奉先实不愿与你为敌！
String = 65567,奉先虽与文远有旧，无奈身处乱世，身不由己，今日莫论情谊，痛快一战吧！
String = 65568,颜良这等货色也配称名将？看来河北无甚将才啊！
String = 65569,河北大将颜良在此！吕奉先降是不降？
String = 65570,看来河北尽是酒囊饭袋，连你文丑都能自称大将！
String = 65571,吾乃河北大将文丑，吕奉先尽管来战！
String = 65572,孙文台虽是纵横江南，我吕奉先却是无敌于天下啊！
String = 65573,大胆吕布！区区武夫，也敢来战我孙文台！
String = 65574,低贱水贼！竟敢挡我吕布去路！
String = 65575,哼！今日教你吕布知道锦帆甘兴霸的厉害！！
String = 65576,汝乃奉先挚爱，为何刀刃相向？
String = 65577,昔日貂蝉蒙将军疼爱，至今未敢相忘，无奈今日身不由己，只得断情绝义。
String = 65578,我袁氏世代为朝臣，实为大汉栋梁！你刘备不过织席村夫，竟也妄想争夺天下！
String = 65579,救国于存亡之间，大丈夫当仁不让！你袁氏只知道结党营私，正是朝政败坏的根源！玄德今天就替天行道，为朝廷铲除乱臣贼子！
String = 65580,曹孟德，汝只不过是宦官养子，竟敢忤逆我袁绍！难道不知我袁氏代代朝臣嘛？
String = 65581,有袁本初这般庸人，袁氏灭亡之日不远！
String = 65582,公孙瓒啊！公孙瓒，像你这种庸人竟然也有执掌帅印的时候？那只会让你手下那些子弟兵白白送死罢了，哈哈哈．．．
String = 65583,袁家世代朝臣，没想到竟出了你这乱臣贼子！
String = 65584,袁术必毁我袁家百年基业！还不归降于我！
String = 65585,妾生的狗崽子！胆敢忤逆袁家正主！
String = 65586,大胆颜良！汝已忘却我袁家对你的恩义吗？
String = 65587,时势所逼！请袁公莫怪颜良无情！
String = 65588,文丑匹夫！我袁家待你恩重如山，昔日提拔你的恩义了吗？
String = 65589,请袁公恕罪！文丑今日是逼不得已的啊！
String = 65590,孙家的兔崽子，胆敢忤逆长辈，不知道长幼尊卑嘛？
String = 65591,袁绍尽管出招！孙伯符要教你尝尝落马的滋味！
String = 65592,董贼！你逆天行事，袁本初今日要为国讨贼！
String = 65593,袁本初亦有称霸之心，敢说董某无道乎？
String = 65594,把他挡下来！别、别让吕布靠近我！
String = 65595,你吕布一介无智莽夫，今日就让你瞧瞧何谓武艺！
String = 65596,不孝子！竟敢对父亲无礼！
String = 65597,父亲，实乃时势所逼，莫怪孩儿不念养育之恩！
String = 65598,狗崽子！忤逆尊亲，不怕天诛地灭嘛？
String = 65599,我军才是天命所归，请父亲及早归顺吧！
String = 65600,为父生你养你，没想到你这狗崽子是这样报答，真真气煞我也！
String = 65601,孩儿为了匡扶社稷之大义，只得辜负父亲的养育恩情了！
String = 65602,刘玄德，在我袁术麾下有享用不尽的荣华富贵，你还不快快归顺！
String = 65603,袁公路起兵只为称霸，未曾有匡扶社稷之心，玄德岂能容你？
String = 65604,曹操不过宦官养子，也敢来袁公路面前撒野！
String = 65605,与我曹操为敌，袁氏一门不久将灭！
String = 65606,吾乃袁家之正主，颜良匹夫，竟敢反叛！
String = 65607,废话少说！胜者为王，败者为寇！
String = 65608,我乃袁氏之主袁术，叛主之徒，还不速速归降？
String = 65609,袁家虽有恩于我，无奈沙场相逢，也只能兵刃相对了！
String = 65610,孙坚快降！否则袁公路定要你悔不当初！
String = 65611,袁公路兵法不识，武艺不精，何敢与曹某相抗！
String = 65612,孙伯符休得放肆！看我袁术收拾你！
String = 65613,凭你袁术，还不够资格和我孙伯符对阵！受死吧！
String = 65614,董贼，我袁术乃袁氏栋梁！今日定要将你千刀万剐，抄家灭族！
String = 65615,袁家的顽纨子弟，也敢来战董卓？可笑！可笑！
String = 65616,吕布武功再强，也是个粗人而已，真当自己是战神嘛？
String = 65617,袁家的少爷个个没出息，吕奉先今天就替你父亲教训教训你！
String = 65618,吾乃河北大将颜良！何方下将敢来对战！
String = 65619,河北大将颜良，以吾观之，如土鸡瓦犬耳！
String = 65620,河北大将颜良在此！哪来的黑脸大胡子？活得不耐烦啦！
String = 65621,河北的乡巴佬有啥好神气的！看俺打得你哭爹喊娘！
String = 65622,在河北无人不知、无人不晓的名将就是我颜良大人！！
String = 65623,我老黄忠还没猎过河北的大土猪呢，今天就来练习箭法！哈哈哈哈～～
String = 65624,来者何人？你可知我乃河北大将颜良！！
String = 65625,没听过！我夏侯家的人从不与无名小卒打交道！
String = 65626,某便是河北大将颜良，平庸下将速速退兵！
String = 65627,我张辽纵横沙场，未曾怯战，区区河北下将，我岂看在眼里？
String = 65628,典韦莫非活得不耐烦了？河北大将颜良可不是你惹得起的！
String = 65629,河北小辈！对上我典韦是你今生最大的不幸。
String = 65630,文丑！你我谁才是河北第一大将！便在今日做个了断吧！
String = 65631,痛快！河北两大名将今日将轰轰烈烈的大战三百回合！
String = 65632,快快下马受缚！我颜良堂堂河北大将，没工夫陪你这白面书生胡闹！
String = 65633,哈哈！区区颜良也敢自称大将，今日公瑾便来教你为将之道！
String = 65634,我乃河北大将颜良！河上毛贼还不退兵请降！
String = 65635,遇上我锦帆甘兴霸，河北大将颜良也只能饮恨落马啦！
String = 65636,我乃河北大将文丑！何人前来送死？
String = 65637,贼将休走！待关某一刀斩你下马！
String = 65638,我河北大将文丑，今日特地纡尊降贵，收拾你这乡下屠夫！
String = 65639,管你河北大将还是河北小将，遇上你张爷爷，一样要跪地求饶！
String = 65640,我河北大将文丑不屑与老将对阵，快快下马请降吧！
String = 65641,待老黄忠打你下马，看你文丑有何面目自称大将！
String = 65642,无道贼将，还不下马求饶！可知吾乃河北大将文丑！
String = 65643,文丑武功微末，也敢在我夏侯渊面前卖弄！
String = 65644,河北第一将文丑驾到，张辽还不降嘛？
String = 65645,张文远只识天下英雄之人，文丑何人？未曾耳闻！
String = 65646,你典韦非是文丑对手，我一只手便能打你下马！
String = 65647,千军万马当前，典韦亦无所惧，小小文丑又算得了什么？
String = 65648,不知天高地厚的白面腐儒，敢来招惹我河北大将文丑！
String = 65649,公瑾略施小计，便能稳操胜券，你信是不信？
String = 65650,河北大将文丑来也！若是害怕，便趁早投降吧！
String = 65651,何来吹嘘之徒？锦帆甘兴霸纵横四海，可没听说文丑这号人物！
String = 65652,玄德贤弟，为何执意与愚兄为敌？难道已忘记昔日之情谊嘛？
String = 65653,原以为公孙兄乃忠义之人，今日观之，实无异董卓、张角之辈！
String = 65654,子龙乃当世无双之将，何不投我麾下建功立业？
String = 65655,本以为你公孙赞乃忠君爱民之人，想不到竟是穷兵黩武之辈！
String = 65656,曹孟德好大胆子，敢犯到我公孙瓒的头上？
String = 65657,公孙瓒降是不降？莫非还想逞强顽抗？
String = 65658,孙文台一方之雄，够资格和我曹孟德斗上一斗！
String = 65659,久闻曹孟德多谋能断，武艺不凡，孙文台特来领教！
String = 65660,袁本初执意敢来犯我孙坚，袁氏一门恐将断绝！
String = 65661,凭你孙文台也敢与我袁绍为敌，简直自不量力！
String = 65662,我儿孙策，为何反我？
String = 65663,为了成就我军大义，父亲大人，伯符得罪了！
String = 65664,刘玄德乃当世英雄之人，看来本姑娘也得使出全力了！
String = 65665,孙氏一族的男儿皆是豪杰之辈，孙家小妹更是武艺高强，看来今天是场硬仗！
String = 65666,公谨，我你有金兰之谊，难道今日真要刀剑相向？
String = 65667,伯符兄，人生在世，可有境遇不同，今日之战只能怪苍天弄人．．．
String = 65668,兴霸此等英雄人物，正与伯符意气相投，何不归我帐下，建不世之功业！
String = 65669,能与孙伯符这等英雄对阵，甘宁甚感光荣，今日痛快一战，生死无尤！
String = 65670,飞将吕布乃是不可多得的好对手，孙伯符拜领高招！
String = 65671,小霸王孙策有资格体验我吕奉先的真本事！接招吧！
String = 65672,江东小霸王孙伯符在此！河北小辈也敢猖狂！
String = 65673,看是你江东孙策高强！还是我河北颜良厉害！
String = 65674,江东小霸王孙策便是我！河北鄙人还不下马跪拜吗？
String = 65675,河北大将文丑在此，江东小儿莫要嚣张！
String = 65676,赵云将军有佐王之能，何不改投我军，成就大业？
String = 65677,孙仲谋英雄盖世，何不归降我天道之师，救万民于水火！
String = 65678,孔明尽管设计布局！孙仲谋不怕这些小把戏！
String = 65679,仲谋公虽贤，孔明亦作掌上观，今日一战，得罪了！
String = 65680,公谨与我兄长交情匪浅，今日难道真要与仲谋为敌吗？
String = 65681,仲谋乃伯符之弟，亦为我弟，无奈战场相逢，只能舍弃兄弟之情了！
String = 65682,伯言，你我意气相投，何不改投，助我平定天下？
String = 65683,伯言虽钦慕孙大人风范，可惜今日不得不战！
String = 65684,好个吕子明，今日一见，果然已非吴下阿蒙！
String = 65685,公乃子明景仰之人，今日与您一战皆是时势所逼，万般无奈呀！
String = 65686,小妹今日当真要与兄长为敌？！
String = 65687,兄长不顺我军，乃是逆天而行，为国家社稷，小妹只有冒犯了！
String = 65688,袁家声势大不如前，不如趁早归降于我，可免袁氏百年基业败亡在你袁绍之手！
String = 65689,住口！哪有主子向部下称臣的道理？以下犯上的狗贼，让我袁绍亲自收拾你，杀鸡儆猴！
String = 65690,公瑾果然没料错，玄德公终究是我军的一大阻碍。
String = 65691,玄德所做的一切皆是为了复兴大汉！周公谨执意阻扰，莫怪玄德强横！
String = 65692,既生瑜，何生亮．．．孔明，今日之战，是你我二人的宿命之争！
String = 65693,公谨与孔明间的恩怨情仇，便在今日做个了断吧！
String = 65694,久仰凤雏庞统用兵如神，今日一战，便知虚实！
String = 65695,谋略计策，只得孔明与庞某争一二，你周公谨永远只能排第三啊！
String = 65696,吕布匹夫！周公谨容不得你撒野！
String = 65697,周公瑾何太狂妄！吕某之力天下无双，何惧你阴谋诡计！
String = 65698,贤妻为何刀剑相向？公瑾以为你会永远陪在身边，想不到．．．．
String = 65699,小乔非是无情，只是身不由己，请夫君原谅我吧！
String = 65700,我老早就想一会传说中的常山赵子龙了！
String = 65701,东莱太史慈威名响亮，子龙讨教！
String = 65702,孙伯符！拿出你的真本事，证明你的实力吧！
String = 65703,痛快！今日就让你瞧瞧江东男儿的气概！
String = 65704,汝兄孙伯符乃太史慈佩服之真英雄！料想孙仲谋亦是非凡之人，出手吧！
String = 65705,今天我要证明，孙家的英雄还有一个孙仲谋！
String = 65706,周公瑾，据闻你智谋过人，武艺精通，今天就让我太史慈来一探虚实！
String = 65707,将军注意了，刀剑无眼，万一出了什么差错，你可不愿怨恨公谨呀！哈哈哈．．．
String = 65708,甘兴霸，听说你便是昔日赫赫有名的锦帆贼，今日能与你一战，实在痛快啊！
String = 65709,子义大名如雷灌耳，甘兴霸讨教！
String = 65710,听闻陆逊文武兼备，今天子义便来试你一试！
String = 65711,太史慈乃我军器重之人，何不与伯言一同回寨，为平定乱世而战。
String = 65712,吕布快来大战三百回合！怕你的就不是太史慈！
String = 65713,凭你太史慈，只怕在奉先手下撑不过三回合呢！哈哈哈．．．
String = 65714,吾乃东莱太史慈！河北小辈颜良，今天你不落马也难！
String = 65715,我颜良乃是河北大将！与你这种小卒对阵，实在太过委屈！
String = 65716,河北鄙人文丑！记住！击败你的人就是我太史慈！！
String = 65717,太史慈听着！想保住性命的话，就快些向我文丑求饶！
String = 65718,久闻赵子龙一身是胆，此等英雄正合我甘兴霸胃口，放马过来吧！
String = 65719,子龙素知锦帆贼甘兴霸勇猛，今日一战，想必痛快！
String = 65720,曹仁小儿，见到我锦帆甘兴霸，还不知下马讨饶吗？
String = 65721,甘宁小小河盗，也敢来战我曹仁，当真活得不耐烦了！！
String = 65722,甘宁素来景仰仲谋公英雄气慨！今日便亲身体验仲谋公文韬武略！
String = 65723,兴霸！吾乃你天命真主，快快归我帐下吧！
String = 65724,姑娘貌美如花，来做我甘兴霸的压寨夫人，如何？
String = 65725,本姑娘武功盖世，甘宁区区河上毛贼，我还不看在眼里！
String = 65726,闻周公瑾计谋天下无双！可惜遇上我锦帆甘兴霸，阴谋诡计全无作用！
String = 65727,甘宁勇力过人，何不加入我军，图天下大计。
String = 65728,能和大名鼎鼎的赵子龙交手，陆逊深感荣幸。
String = 65729,陆伯言乃文武双全之大将，子龙期待今日尽情一战！
String = 65730,晚生陆逊，耳闻孔明先生兵法通神，特来讨教！
String = 65731,陆伯言颇有才学，看今日能否看破孔明兵法奥妙！
String = 65732,能与天下闻名的谋士周公谨交手，陆伯言惶恐，还请赐教！
String = 65733,江山代有人才出，想不到后生晚辈也有真才实学之人。
String = 65734,听闻阁下曾是赫赫有名的锦帆贼之首，料想胸怀大志，何不弃暗投明，为王道之师效命？
String = 65735,原来书生中也有陆伯言这般英雄，甘兴霸恭候高招！
String = 65736,苍天已死，黄天当立！刘玄德实愚昧之人，胆敢逆天行事！
String = 65737,妖道！休再妖言惑众！玄德今日定要你自食恶果！
String = 65738,苍天已死，黄天当立！老将军逆我天军，可知其罪滔天？
String = 65739,妖道，老黄忠今日定要你落马求饶！
String = 65740,听闻玄德公是为了复兴汉室而战，可是大汉气数已尽，玄德公恐怕要白费心思了。
String = 65741,司马仲达狼子野心，今日不除，来日必为大患。
String = 65742,诸葛村夫！汝乃司马懿宿命死敌，今日便是了断的时候！
String = 65743,世上有我诸葛孔明，司马仲达永远是败军之将。
String = 65744,周公谨，汝之兵法谋略不差，可惜非是我司马仲达对手。
String = 65745,司马仲达，你我皆是擅谋之人，今日便看谁的计策略胜一筹！
String = 65746,刘玄德莫要白费气力，你刘氏大汉已近灭绝，日后必将是我司马家的天下！！
String = 65747,司马仲达野心甚重，意图颠覆汉室道统，绝不可留！！
String = 65748,孔明兄，凤雏与卧龙之争，就在今朝分出高下吧！
String = 65749,士元兄，请赐教。
String = 65750,贱人！枉费我一番养育，今日你竟敢与我为敌，无情无义，莫过于此！
String = 65751,妾蒙大人恩养，教习歌舞，无奈今日为救苦难黎民，只得狠心与大人为敌了！
String = 66000,历史事件对话 for 殷钟
String = 66001,孙权嫁妹
String = 66002,主公之妹，有沉鱼落雁之貌，万夫莫敌之勇，今已成年。
String = 66003,主公可教人刘备处说媒。一来可免受刘、曹夹击，二来两军可联合一气，共抗曹贼，主公以为如何？
String = 66004,万万不可！我小妹乃是金枝玉叶，怎能匹配刘备这织席村夫？此事休再提起。
String = 66005,皇叔有礼。吾主吴侯有一妹，貌美而贤，吾主观天下豪杰，惟玄德公可堪匹配。
String = 66006,若两家共结秦、晋之好，曹贼岂敢造次。此事家国两便，敢问皇叔以为如何？
String = 66007,此事甚好！玄德岂敢不从？自此两家联姻交好，齐心同力，共抗曹贼。
String = 66008,玄德年岁已长，吴侯之妹，正当妙龄，我俩恐非佳偶。此事万万不可，请吴侯海量见涵。
String = 66009,吴侯之妹，乃金枝玉叶，我军须以钜金重宝为聘，方为礼数。
String = 66010,此番远嫁，不知何年何月再回江东，请兄长保重，小妹就此拜别。
String = 66011,本姑娘下嫁已是委屈，大耳贼竟敢嫌弃！实在欺人太甚！来日我必报此仇。
String = 66012,某闻云长之女文武双全，今甫成年，尚未许字人。某愿前往代主公世子求婚。
String = 66013,若云长肯许，我军添一大将，更兼与刘备军联姻交好，共抗曹贼攻势。主公以为如何？
String = 66014,我军#a03#出使刘备军
String = 66015,孙权军#a03#前来拜访
String = 66016,孙仁进驻刘备军 %s\n我军与刘备军缔结同盟\n我军付出嫁妆 %s、%s、金钱 %d\n我军获得聘礼 %s、%s、金钱 %d
String = 66017,孙仁进驻我军 %s\n我军与孙权军缔结同盟\n我军付出聘礼 %s、%s、金钱 %d\n我军获得嫁妆 %s、%s、金钱 %d
String = 66018,孙仁出仕  进驻我军 %s\n我军与刘备军外交度下降 %d
String = 66019,我军与东吴军外交度下降 %d
String = 66020,末将近闻刘备迎娶孙权之妹孙仁，刘、孙两家似有联合一气之势，我军当多加留意。
String = 66021,孙权向关凤提亲
String = 66022,某闻云长之女文武双全，今甫成年，尚未许字人。某愿前往代主公世子求婚。
String = 66023,若云长肯许，我军添一大将，更兼与刘备军联姻交好，共抗曹贼攻势。主公以为如何？
String = 66024,关羽一介江湖草莽，其女如何匹配我儿？此事断不可行。
String = 66025,吾主吴侯有一子，甚聪明；闻关羽将军有一女，才貌双全，故遣在下前来求亲。
String = 66026,两家结好，并力破曹。此诚美事，请君侯深思之。
String = 66027,关羽何太无礼！今日之辱，来日必教你悔不当初！
String = 66028,男大当婚、女大当嫁，此乃人伦之常，云长断无相拒之理。待两军联姻，曹贼势大亦无可惧。
String = 66029,吾虎女安肯嫁犬子！若再妄语，立斩汝首！
String = 66030,贤侄女下嫁吴侯世子，玄德当以重金珍宝陪嫁，以免失礼于吴侯。
String = 66031,女儿远嫁江东，不知何时再回，容女儿叩谢爹亲养育之恩，望爹亲保重身体。
String = 66032,我军#a03#出使刘备军
String = 66033,孙权军#a03#前来拜访
String = 66034,我军与刘备军外交度下降 %d
String = 66035,我军与东吴军外交度下降 %d
